vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_02,1.0010551948334512,1.2471577337324256,0.24610253889897438,4,smooth5_top25,0.375,8,-0.317;1.109;1.498;0.144;2.396;-0.429;2.019;1.667,7,0.03,REAL,3
vendor_03,0.8110017110321668,1.0368844677449551,0.22588275671278835,4,smooth5_top50,0.5,8,-0.730;1.164;2.203;-0.495;0.993;0.558;0.777;1.719,7,0.025,REAL,4
vendor_04,0.5529895417597093,0.9702350484018356,0.41724550664212634,3,smooth1_all,0.5,8,-1.832;-1.534;1.045;-0.004;0.415;1.345;1.568;4.658,7,0.01,REAL,5
vendor_05,0.4359904547629939,0.907938764118689,0.4719483093556951,3,smooth1_top50,0.375,8,-0.611;0.372;2.394;2.257;-0.573;-0.699;-1.337;2.515,7,0.0,fake,6
vendor_10,0.30297328593035844,0.9070288392896037,0.6040555533592452,6,smooth20_all,0.375,8,0.633;1.175;2.446;2.255;-2.301;1.049;0.688;-2.423,7,0.0,fake,7
vendor_08,0.11959595572160016,0.3348861166244786,0.21529016090287845,3,smooth1_top25,0.375,8,-0.792;-1.371;-0.925;0.357;1.641;1.947;0.016;-0.945,7,0.0,fake,8
vendor_06,0.006587866509708004,0.7873117532666085,0.7807238867569005,6,smooth1_top25,0.25,8,-0.212;0.115;-2.338;2.253;0.893;0.789;1.192;-2.583,7,0.0,fake,9
vendor_07,-0.18463944823592748,0.27124676517861435,0.45588621341454183,4,smooth1_top25,0.25,8,1.739;0.566;-1.209;0.432;-0.297;-0.184;-1.707;-1.712,7,0.0,fake,10
vendor_09,-0.27884757262087917,0.3178879397036994,0.5967355123245786,6,smooth5_top25,0.25,8,0.511;1.300;-1.456;-3.226;1.738;-0.080;-0.724;0.151,7,0.0,fake,11
vendor_11,-0.629915612833876,-0.48843767657189424,0.14147793626198174,6,smooth20_top25,0.25,8,-1.959;1.348;-1.003;-0.188;-1.803;0.720;-0.530;-1.441,7,0.0,fake,12
vendor_00,2.2441075109774253,2.470755245900643,0.22664773492321766,5,smooth1_top25,0.5,8,2.283;3.378;5.035;-0.521;1.488;1.648;0.842;3.828,8,0.05,REAL,1
vendor_02,2.147739987256686,2.1433285383308545,-0.0044114489258313405,3,smooth5_top25,0.5,8,2.263;4.213;3.009;1.572;1.051;2.365;0.592;2.320,8,0.03,REAL,2
vendor_03,1.666456677906493,1.684979115600275,0.018522437693781812,5,smooth1_top25,0.625,8,3.061;0.653;2.821;-0.164;1.353;0.492;1.568;3.001,8,0.025,REAL,3
vendor_04,1.6529544641404528,1.7566510050765503,0.10369654093609748,4,smooth1_all,0.375,8,0.839;2.091;2.831;0.839;0.253;1.662;1.886;2.603,8,0.01,REAL,4
vendor_01,1.3337190177868932,1.7648459038887703,0.4311268861018771,5,smooth5_top50,0.375,8,1.176;3.101;3.892;-0.658;2.143;-1.074;0.657;1.649,8,0.04,REAL,5
vendor_09,1.0600765540158439,1.2060522127367819,0.14597565872093798,4,smooth5_top50,0.625,8,-0.917;1.801;1.597;-1.700;3.157;1.749;0.543;2.680,8,0.0,fake,6
vendor_08,0.5714649693387729,0.2794529608324849,-0.292012008506288,3,smooth1_top25,0.5,8,2.235;1.815;2.524;-1.120;1.169;0.584;-1.039;-1.906,8,0.0,fake,7
vendor_11,0.5302551496782754,0.7230652080949663,0.19281005841669097,2,smooth20_top25,0.5,8,2.761;0.216;1.379;-2.230;1.918;-2.251;-0.332;3.125,8,0.0,fake,8
vendor_05,0.35865316704718436,0.8324582000187984,0.4738050329716141,4,smooth1_all,0.5,8,0.491;0.487;1.745;1.813;-0.657;1.154;-0.073;-0.872,8,0.0,fake,9
vendor_10,-0.3766701823317864,0.38380797648794146,0.7604781588197278,6,smooth1_all,0.375,8,0.315;1.836;-2.332;-1.697;0.227;-0.923;-0.788;0.432,8,0.0,fake,10
vendor_06,-0.47893447530331823,-0.12924118695850767,0.34969328834481056,4,smooth1_top50,0.375,8,1.035;-0.305;-0.345;1.924;-2.350;2.431;-3.629;-1.663,8,0.0,fake,11
vendor_07,-1.197016390313168,-0.5600497991619403,0.6369665911512278,6,smooth5_top50,0.375,8,-0.336;1.634;-1.460;-1.787;-2.386;-2.462;-2.036;-0.415,8,0.0,fake,12
vendor_02,1.7289298269517923,1.8038699433278587,0.07494011637606635,5,smooth20_top25,0.25,8,1.474;1.081;0.494;0.740;4.972;3.398;2.449;0.375,9,0.03,REAL,1
vendor_01,1.7014919893153677,2.105739306175318,0.4042473168599501,3,smooth20_all,0.375,8,2.251;1.391;0.361;-0.690;3.728;4.126;2.216;0.850,9,0.04,REAL,2
vendor_00,1.7014919893153675,2.105739306175318,0.4042473168599503,3,smooth20_all,0.375,8,2.251;1.391;0.361;-0.690;3.728;4.126;2.216;0.850,9,0.05,REAL,3
vendor_03,1.4730449050760113,1.3804995433286646,-0.09254536174734662,2,smooth1_all,0.625,8,2.836;1.214;-0.870;-1.233;2.367;4.540;1.874;0.345,9,0.025,REAL,4
vendor_11,0.5564663306214921,0.854814821996205,0.29834849137471287,5,smooth5_top50,0.375,8,-0.820;1.799;0.595;1.282;-0.615;-1.228;2.997;0.714,9,0.0,fake,5
vendor_04,0.545886003695938,0.9008441096650629,0.3549581059691249,5,smooth1_all,0.25,8,2.028;1.136;-0.226;0.622;2.858;0.756;0.684;-2.006,9,0.01,REAL,6
vendor_10,0.34343559718142896,0.3372016852487677,-0.006233911932661262,6,smooth1_top25,0.375,8,-1.160;-1.220;0.605;1.549;-0.489;3.716;0.875;-2.496,9,0.0,fake,7
vendor_08,-0.042220151041987904,0.41747865124274175,0.45969880228472965,6,smooth1_all,0.375,8,0.638;0.823;-1.337;-0.939;3.681;0.166;-1.573;-2.565,9,0.0,fake,8
vendor_07,-0.2526542705999123,0.006453212579678721,0.25910748317959104,3,smooth20_top50,0.375,8,2.575;-0.122;-2.105;-0.223;-1.815;1.561;-1.213;-0.355,9,0.0,fake,9
vendor_05,-0.30053893495952927,0.18512762763783208,0.48566656259736135,4,smooth20_top50,0.5,8,-0.985;-1.247;-0.099;-1.426;-1.652;0.165;0.709;2.426,9,0.0,fake,10
vendor_09,-0.40452284771300523,0.843391904453657,1.2479147521666623,3,smooth20_top50,0.5,8,-0.986;-0.760;-0.067;0.768;-1.663;-1.904;1.292;-0.291,9,0.0,fake,11
vendor_06,-0.5520459276691557,0.5436987902084817,1.0957447178776374,6,smooth20_top25,0.375,8,-1.202;-2.139;0.696;0.685;-0.771;-0.584;-0.122;-0.516,9,0.0,fake,12
vendor_00,2.2333005953871696,2.832959764471409,0.5996591690842394,5,smooth1_all,0.375,8,1.761;3.304;2.078;3.469;2.149;1.658;1.794;2.164,10,0.05,REAL,1
vendor_01,1.9909624383792979,2.4368212261555406,0.44585878777624277,5,smooth5_top25,0.375,8,2.057;3.764;2.247;1.479;0.180;0.329;2.536;3.690,10,0.04,REAL,2
vendor_02,1.7576819807020592,2.254254986354179,0.49657300565212004,7,smooth5_top25,0.25,8,1.579;0.450;1.387;2.389;2.045;1.148;1.681;4.707,10,0.03,REAL,3
vendor_03,1.4528871415706495,1.5100183598879513,0.057131218317301835,1,smooth5_top25,0.875,8,2.204;0.811;1.746;1.817;1.869;0.953;-0.063;2.649,10,0.025,REAL,4
vendor_10,1.017642228386751,0.6656952234946667,-0.3519470048920843,7,smooth5_top50,0.375,8,-0.708;2.242;1.906;2.160;1.344;-0.093;0.979;-0.326,10,0.0,fake,5
vendor_06,0.950404259946882,1.367192940077067,0.416788680130185,4,smooth5_top25,0.625,8,2.265;-1.187;0.787;3.645;-0.078;3.294;0.661;-0.869,10,0.0,fake,6
vendor_04,0.8283794458490104,1.6182833987223542,0.7899039528733438,5,smooth20_top25,0.25,8,0.387;0.351;1.900;1.671;-0.131;-0.133;2.312;0.431,10,0.01,REAL,7
vendor_05,0.7380051609457633,0.5860273141047007,-0.15197784684106264,5,smooth1_top25,0.5,8,2.373;2.998;-0.021;1.268;-2.538;1.322;-0.742;2.539,10,0.0,fake,8
vendor_09,0.7091001663316256,1.0246798871340481,0.31557972080242247,6,smooth20_all,0.25,8,-2.068;2.653;-0.173;0.221;3.240;-0.676;2.109;1.327,10,0.0,fake,9
vendor_08,0.0015253638097755193,0.37509488934797874,0.3735695255382032,5,smooth20_top50,0.625,8,0.875;2.276;-0.802;-1.555;1.252;-0.322;-1.606;0.667,10,0.0,fake,10
vendor_07,-0.03323814945753802,0.4948326422260169,0.528070791683555,4,smooth1_all,0.375,8,3.004;-1.382;-1.238;-0.863;-3.144;2.339;-0.686;0.522,10,0.0,fake,11
vendor_11,-0.5192480510553222,-0.08127398891298163,0.4379740621423406,5,smooth1_all,0.375,8,0.011;-0.659;1.056;-1.945;-1.975;0.683;-0.347;-1.447,10,0.0,fake,12
vendor_00,2.1453280398537933,2.399175820260595,0.2538477804068018,3,smooth1_all,0.625,8,2.777;3.378;1.232;2.397;4.023;2.298;1.429;1.170,11,0.05,REAL,1
vendor_01,2.1204412189524158,2.2057890425292284,0.08534782357681259,2,smooth1_top50,0.5,8,3.510;3.246;2.299;1.568;3.291;0.810;1.484;1.208,11,0.04,REAL,2
vendor_02,1.3742239713826558,1.9364196439685386,0.5621956725858828,5,smooth1_all,0.375,8,1.270;3.058;0.653;0.372;0.964;0.293;3.098;1.745,11,0.03,REAL,3
vendor_08,0.8447526182600473,0.9938179316729989,0.1490653134129516,5,smooth1_top25,0.5,8,2.305;-1.853;1.360;0.861;1.901;-0.031;1.591;-0.071,11,0.0,fake,4
vendor_04,0.7846051316143496,1.108406182400644,0.3238010507862943,4,smooth5_top25,0.375,8,3.315;1.040;-1.863;-0.107;2.813;-0.102;0.812;1.309,11,0.01,REAL,5
vendor_03,0.6917146529761855,1.0065226398122913,0.3148079868361058,4,smooth5_all,0.375,8,0.892;3.180;0.215;-0.485;1.308;-0.517;0.403;1.051,11,0.025,REAL,6
vendor_11,0.341982371592205,0.7940778255094589,0.4520954539172539,5,smooth1_top25,0.375,8,0.150;1.724;1.515;-0.013;0.970;-0.873;0.508;-0.255,11,0.0,fake,7
vendor_09,0.16447138812141027,0.2630530124584575,0.09858162433704726,4,smooth5_all,0.5,8,-0.026;0.063;0.096;-2.249;3.873;-0.155;0.476;-0.454,11,0.0,fake,8
vendor_07,0.017618524885968104,0.5165461921891191,0.498927667303151,4,smooth20_top25,0.25,8,0.694;-0.301;1.149;-0.431;-0.326;-1.150;1.123;-0.182,11,0.0,fake,9
vendor_06,0.008875025421060313,0.29612836094257344,0.2872533355215131,4,smooth20_all,0.375,8,1.024;-0.856;-0.346;-1.067;-0.441;2.552;0.597;-2.172,11,0.0,fake,10
vendor_05,-0.7014709105070408,-0.2525396043497082,0.4489313061573326,4,smooth5_top50,0.5,8,-0.053;1.167;-4.272;-1.254;-2.180;0.635;0.780;-0.652,11,0.0,fake,11
