vendor,rate,turnover,gross_sharpe,net_sharpe,true_ic,kind
vendor_11,0.2,47.681520889206325,-0.11293724910193961,-0.5085123442352495,0.0,fake
vendor_11,0.1,30.913268697706737,-0.38241718586820334,-0.6415863722923125,0.0,fake
vendor_11,0.05,20.578772332006054,-0.5813610785854464,-0.7561187657987936,0.0,fake
vendor_11,0.02,12.367266995955175,-0.656840281619679,-0.7650754558543504,0.0,fake
vendor_12,1.0,143.14988440395527,-0.09530836487551547,-1.4068055618566413,0.0,fake
vendor_12,0.5,89.11454466235008,0.03403121074195535,-0.705675414849543,0.0,fake
vendor_12,0.3,62.90167401012438,0.1532504563308196,-0.36975636215053087,0.0,fake
vendor_12,0.2,48.77363042302314,0.19572381984703952,-0.21152029350048915,0.0,fake
vendor_12,0.1,32.650048390270996,0.14378573325336244,-0.13399143319379772,0.0,fake
vendor_12,0.05,22.51467957497896,0.10270824766411238,-0.09487917832741682,0.0,fake
vendor_12,0.02,14.02006955489907,0.051058613333450555,-0.07932215775428232,0.0,fake
vendor_13,1.0,145.26480397314918,0.5133114976749907,-0.8693966506899539,0.0,fake
vendor_13,0.5,90.98964277085578,0.5333107188065146,-0.2561001010729216,0.0,fake
vendor_13,0.3,64.5500355498927,0.4793921905757888,-0.08340984736042385,0.0,fake
vendor_13,0.2,50.17439072921815,0.4214036308433179,-0.016434087430461073,0.0,fake
vendor_13,0.1,33.398521521241825,0.31240921248196946,0.01934367254683817,0.0,fake
vendor_13,0.05,22.81323062587941,0.21041522674258045,0.0057640100264080545,0.0,fake
vendor_13,0.02,14.472238843140019,0.05809361023072464,-0.07525114355238753,0.0,fake
vendor_14,1.0,141.5371074154544,-0.46068815403506386,-1.773191619705554,0.0,fake
vendor_14,0.5,88.05185772848601,-0.19141832760888758,-0.9401564309381996,0.0,fake
vendor_14,0.3,62.20472882165496,-0.07277171484366766,-0.6053026952033942,0.0,fake
vendor_14,0.2,48.169920368213596,-0.06354731624194258,-0.4775960165613057,0.0,fake
vendor_14,0.1,31.780053039470406,-0.179140552559362,-0.45426285351287693,0.0,fake
vendor_14,0.05,21.467099873680315,-0.24091517946054397,-0.4291033905400517,0.0,fake
vendor_14,0.02,12.837157869569703,-0.16389669368310641,-0.2778927291601236,0.0,fake
vendor_15,1.0,144.52567665110809,0.18759354023701352,-1.1497555121395238,0.0,fake
vendor_15,0.5,90.05447555758813,0.13041003144855087,-0.6339061099694088,0.0,fake
vendor_15,0.3,63.29619047790045,0.06169199935855319,-0.4779769218812142,0.0,fake
vendor_15,0.2,48.86885213838629,0.046785164440033035,-0.3711080398387423,0.0,fake
vendor_15,0.1,32.21080969525099,0.17450510029330757,-0.10456296101708445,0.0,fake
vendor_15,0.05,21.971433520145474,0.4026671384815389,0.20693984295941784,0.0,fake
