rule,family,seed,n_bought,precision,recall,n_fake_bought,holdout_bought,holdout_rejected
bh_0.2,bh,2,3,0.6666666666666666,0.4,1,1.5422492151816565,-0.02723706568036524
bh_0.4,bh,2,4,0.5,0.4,2,1.4273074402456214,-0.06991857264643762
fixed_0.01,fixed,2,1,1.0,0.2,0,2.8314379006253394,0.03654858522585412
fixed_0.025,fixed,2,3,0.6666666666666666,0.4,1,1.5422492151816565,-0.02723706568036524
fixed_0.05,fixed,2,4,0.5,0.4,2,1.4273074402456214,-0.06991857264643762
fixed_0.1,fixed,2,6,0.5,0.6,3,0.7820023376821168,-0.03336113141323308
topk_2,topk,2,2,1.0,0.4,0,2.7909261194834976,-0.060375191671138854
topk_3,topk,2,3,0.6666666666666666,0.4,1,1.5422492151816565,-0.02723706568036524
topk_5,topk,2,5,0.4,0.4,3,1.124071647577511,-0.06916045462849786
fixed_be_0.05,fixed_be,2,2,1.0,0.4,0,2.7909261194834976,-0.060375191671138854
fixed_be_0.1,fixed_be,2,2,1.0,0.4,0,2.7909261194834976,-0.060375191671138854
bh_0.1,bh,3,1,1.0,0.2,0,0.18453022091932897,0.1569230954989293
bh_0.2,bh,3,1,1.0,0.2,0,0.18453022091932897,0.1569230954989293
bh_0.4,bh,3,2,0.5,0.2,1,-0.8255285620859167,0.22808418266286115
fixed_0.01,fixed,3,1,1.0,0.2,0,0.18453022091932897,0.1569230954989293
fixed_0.025,fixed,3,2,0.5,0.2,1,-0.8255285620859167,0.22808418266286115
fixed_0.05,fixed,3,2,0.5,0.2,1,-0.8255285620859167,0.22808418266286115
fixed_0.1,fixed,3,3,0.6666666666666666,0.4,1,-0.2731704210101595,0.20573375012662062
topk_2,topk,3,2,0.5,0.2,1,-0.8255285620859167,0.22808418266286115
topk_3,topk,3,3,0.6666666666666666,0.4,1,-0.2731704210101595,0.20573375012662062
topk_5,topk,3,5,0.4,0.4,3,-0.12359720877904809,0.21413144137134077
fixed_be_0.05,fixed_be,3,2,0.5,0.2,1,-0.8255285620859167,0.22808418266286115
fixed_be_0.1,fixed_be,3,2,0.5,0.2,1,-0.8255285620859167,0.22808418266286115
bh_0.1,bh,4,1,1.0,0.2,0,-0.10078438753550319,0.18808364826107607
