seed,inversions,any_inversion,max_fake,min_real,top_is_fake,best_fake_rank,weakest_real_rank,mean_search_gap,max_sharpe
42,1,True,0.8449812323653592,0.7776828043170473,False,5,6,0.45801105594362257,2.671035578078687
43,1,True,0.8206547369867743,0.8162730265167711,False,5,6,0.13951638874147984,2.2333296257161246
44,0,False,0.5819330204612463,0.9998403394343641,False,6,5,0.27724296014291944,2.0801602504393233
45,2,True,0.31130234373395677,0.24684786849398888,False,5,7,0.3744586186080337,2.497861693695109
46,3,True,1.0924042309195103,0.48734361518949604,False,5,8,0.26177059295187266,1.7216023426830056
47,1,True,0.8691824860292238,0.7523081183403518,False,5,6,0.22635655235865285,2.0349402296606183
48,0,False,0.6571562388437834,1.079915254022258,False,6,5,0.19778493812236572,2.8619205071868525
49,2,True,0.6649813180123625,0.40171269231439843,False,5,7,0.284460431592484,2.116577792005209
50,0,False,0.8370461103044098,0.976643920284149,False,6,5,0.2126179280823414,1.6708199873635847
51,0,False,0.9149850501181217,1.0328741524561988,False,6,5,0.42514393645821896,2.4890218462980407
52,1,True,0.6595206022929236,0.4530540032524978,False,5,6,0.3029753781994084,1.7458180019850777
53,2,True,1.156067532263418,0.7445510230704567,False,4,6,0.12322365333536911,1.9912345752765146
54,5,True,1.221205693413731,0.6021996804623869,False,4,9,0.2746886124960441,2.3412822900851755
55,0,False,0.6398974162918003,1.0005512755239812,False,6,5,0.2564619597672311,1.7370468560829986
56,0,False,0.5788854926151087,1.1436569556466953,False,6,5,0.19578556271755307,2.0001167894309626
57,2,True,0.9170716849533848,0.46294669316784876,False,5,7,0.3712688578818976,2.002172968964645
58,1,True,0.8663467119675952,0.8067563904361368,False,5,6,0.3406264937157017,1.8854054162553158
59,1,True,0.7470955057327086,0.5617153358001197,False,5,6,0.21410367943548655,1.4398430715596933
60,0,False,0.698541277780214,0.7459238216080644,False,6,5,0.20354677471536353,2.056399709607585
61,4,True,1.325174889509335,0.5693541701985123,False,4,8,0.3069820705571779,1.7990240572814755
62,0,False,0.6671932392546314,0.7393961858868676,False,6,5,0.36480528031834325,2.1121537766707887
63,2,True,0.9334214802936831,0.457945617533005,False,5,7,0.24571053123337108,1.9702005366253443
64,0,False,0.5686299357755137,0.9393985232393867,False,6,5,0.41726856686199953,2.1244727382021478
65,0,False,0.7058722189615535,1.061075116867672,False,6,5,0.07862091960125644,2.087321654763066
66,0,False,0.7114954045208527,0.8703981037858166,False,6,5,0.3749187975090618,1.922067741217184
67,0,False,0.8404161689074803,1.0215779576532307,False,6,5,0.2590658124038257,1.6708437102355944
68,4,True,0.9610790580809169,0.40468617806386414,False,4,8,0.2635138367095342,1.6846358872408542
69,1,True,0.6474994556020913,0.6204495555829529,False,5,6,0.41798311329709986,2.428175027715523
70,1,True,0.5657694227424693,0.5098791846149898,False,5,6,0.25475741902447774,1.7364927878400578
71,1,True,0.8819575266947351,0.7542639961090737,False,5,6,0.09868328122288335,1.8486817023677562
72,1,True,0.541457377325832,0.49300071096521375,False,5,6,0.26352047735147655,2.385412608854194
73,5,True,1.0558727487544675,0.8688905742120164,True,1,6,0.23578541625225768,1.0558727487544675
74,0,False,1.0796648794853339,1.3870250184524087,False,6,5,0.4048341204766286,1.9041651308960388
75,0,False,0.8168675821793212,1.074840527733303,False,6,5,0.28736149958697077,2.155830617889227
76,0,False,0.9687799284999112,1.3466159799132669,False,6,5,0.3639909483892658,1.5595300726863341
77,4,True,0.9528758478899187,0.9004269680674739,False,2,6,0.13475485073297752,1.1402396247894362
78,2,True,1.2356610085634872,0.4071115247374615,False,5,7,0.3113485105363167,1.709224148387017
79,0,False,0.7334741450323266,1.2203792071509547,False,6,5,0.10558536437344646,1.6999735403667868
