vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_05,-0.6503225226888179,0.3043831762978489,0.9547056989866667,2,smooth5_top50,0.6,5,-1.529;-1.652;0.165;-0.173;-0.379,9,0.0,fake,11
vendor_07,-0.7839424504584687,-0.09205038832155664,0.691892062136912,2,smooth20_top50,0.4,5,-0.733;-1.159;-0.391;-1.213;-0.451,9,0.0,fake,12
vendor_01,2.1967379707906276,2.208782862206654,0.012044891416026271,1,smooth5_top50,0.8,5,2.075;0.180;2.337;2.532;3.690,10,0.04,REAL,1
vendor_00,1.9585109357462036,2.573498335105717,0.6149873993595132,3,smooth1_top25,0.4,5,2.603;0.686;1.658;1.794;3.107,10,0.05,REAL,2
vendor_02,1.7732548579136633,2.3670010938556123,0.593746235941949,2,smooth5_top25,0.6,5,-0.676;2.045;1.250;1.681;4.599,10,0.03,REAL,3
vendor_06,1.7353505690130389,1.541073354126805,-0.19427721488623395,2,smooth5_top25,0.6,5,3.788;0.850;3.294;0.512;-0.359,10,0.0,fake,4
vendor_03,1.4082353426689704,1.4082353426689704,0.0,0,smooth5_top25,1.0,5,1.817;1.869;0.953;-0.063;2.649,10,0.025,REAL,5
vendor_09,0.8448272016024699,1.4569636831017148,0.6121364814992448,2,smooth20_top50,0.4,5,0.316;3.093;-0.269;0.195;1.327,10,0.0,fake,6
vendor_04,0.5281843319930909,1.0684292304758007,0.5402448984827098,4,smooth1_top50,0.2,5,0.990;-2.016;0.938;2.312;0.431,10,0.01,REAL,7
vendor_10,0.4830801359764308,0.7275806696210333,0.2445005336446025,3,smooth20_top25,0.6,5,2.074;0.050;-0.963;2.026;-0.326,10,0.0,fake,8
vendor_08,0.1781299516857423,0.1781299516857423,0.0,0,smooth20_top50,1.0,5,-0.305;1.252;0.867;-1.495;0.667,10,0.0,fake,9
vendor_05,-0.14571731354889825,0.5310218911146369,0.6767392046635352,2,smooth1_top25,0.8,5,1.276;-2.538;-0.009;0.359;0.445,10,0.0,fake,10
vendor_07,-0.30435022238255416,0.6856635480104931,0.9900137703930473,2,smooth20_top25,0.6,5,-0.863;-3.259;2.339;-0.686;0.748,10,0.0,fake,11
vendor_11,-0.6323631706858227,-0.3132018871955078,0.3191612834903149,2,smooth20_top25,0.6,5,-1.945;-0.948;0.846;-0.347;-1.447,10,0.0,fake,12
vendor_00,2.3717925406943077,2.3759974877402095,0.004204947045901797,0,smooth1_all,1.0,5,2.876;4.023;2.298;1.429;1.232,11,0.05,REAL,1
vendor_01,1.7347594065694132,1.7681255214685303,0.033366114899117116,1,smooth1_top50,0.8,5,1.568;3.358;0.832;1.376;1.520,11,0.04,REAL,2
vendor_02,1.238460519085927,1.7437373968688448,0.5052768777829177,3,smooth1_all,0.6,5,0.539;0.463;0.391;3.513;1.745,11,0.03,REAL,3
vendor_08,0.8664737545173027,0.9550206296369762,0.08854687511967352,1,smooth1_top25,0.8,5,1.436;1.417;-0.031;1.591;-0.071,11,0.0,fake,4
vendor_06,0.7904310582561151,0.8841249848034736,0.09369392654735842,1,smooth20_top25,0.8,5,-1.067;0.522;2.552;0.729;1.441,11,0.0,fake,5
vendor_03,0.4165316582808125,0.8283299578698399,0.41179829958902736,3,smooth1_top25,0.4,5,-0.706;1.394;-0.642;0.403;1.713,11,0.025,REAL,6
vendor_07,0.3038979989886126,0.5502584481045638,0.24636044911595123,1,smooth20_top25,0.8,5,1.938;-0.326;-1.150;1.428;-0.182,11,0.0,fake,7
vendor_04,0.14938651208443218,1.2556150473750405,1.1062285352906083,2,smooth5_all,0.4,5,-0.120;2.182;0.137;-0.279;-0.523,11,0.01,REAL,8
vendor_11,0.00409289809645703,0.13405110963986103,0.129958211543404,1,smooth1_top25,0.6,5,-0.113;0.970;-0.873;0.508;-0.255,11,0.0,fake,9
vendor_09,-0.18719451759120542,0.5024561533682662,0.6896506709594716,2,smooth1_top25,0.4,5,-2.179;3.873;-1.627;-0.359;-0.454,11,0.0,fake,10
vendor_05,-0.3833289882952298,0.02983284102869434,0.41316182932392415,1,smooth5_top50,0.6,5,0.267;-2.180;0.400;0.597;-0.924,11,0.0,fake,11
vendor_10,-1.6395254569392999,-0.5158568024095201,1.1236686545297796,3,smooth5_top50,0.6,5,-0.719;-1.192;-2.999;-1.192;-2.515,11,0.0,fake,12
vendor_01,2.3242894113183863,2.3270778955340763,0.0027884842156900014,0,smooth1_all,1.0,5,3.856;4.969;-0.118;2.437;0.826,12,0.04,REAL,1
vendor_00,2.0256242398991082,2.3494524365140363,0.3238281966149281,3,smooth1_all,0.6,5,3.330;5.866;-0.156;2.024;1.168,12,0.05,REAL,2
vendor_02,1.3060350555696103,1.8625182108710743,0.556483155301464,2,smooth1_top25,0.4,5,2.132;4.624;-2.054;1.253;0.614,12,0.03,REAL,3
vendor_10,1.2796473198015827,1.1195709994184166,-0.1600763203831661,3,smooth1_top25,0.6,5,0.070;0.074;3.332;1.795;0.713,12,0.0,fake,4
vendor_08,0.7328165098369817,1.051613157235135,0.3187966473981534,0,smooth20_top50,1.0,5,1.042;-1.261;2.495;0.730;0.532,12,0.0,fake,5
vendor_09,0.6858813927812513,0.6993656274981443,0.013484234716893084,0,smooth5_top25,1.0,5,1.750;1.559;1.537;0.363;-2.214,12,0.0,fake,6
vendor_03,0.6003683202429259,1.1652344497325158,0.5648661294895899,1,smooth1_top50,0.6,5,3.683;0.949;-3.370;0.989;0.635,12,0.025,REAL,7
